GSM1887730	GSM2177026	GSM2177021	GSM2177023	GSM2177019	GSM2177022	GSM2177027	GSM2177025	GSM2177024	GSM2177018	GSM2177020	GSM2177017	GSM2828480	GSM2828481	GSM2828482	GSM2828483	GSM2828484	GSM2828485	GSM3407112	GSM3407113	GSM3407114
0610007P14Rik	18024	67	326	102	193	201	77	24	127	63	114	167	561	476	543	1484	1345	1426	74	120	123
0610009B22Rik	2517	0	34	1	21	12	11	3	0	6	24	16	153	341	336	484	491	579	18	26	48
0610009L18Rik	459	0	0	0	0	0	0	0	0	2	0	0	19	37	95	74	62	71	2	2	6
0610009O20Rik	4668	1	82	0	34	0	1	3	4	27	54	21	146	160	155	256	236	227	13	28	29
0610010F05Rik	1286	50	64	143	36	131	34	66	57	11	33	24	390	480	220	348	293	252	43	13	76
0610010K14Rik	5572	0	13	19	1	0	0	0	0	10	11	22	614	726	1255	1369	1035	1409	55	37	62
0610011F06Rik	1325	0	47	97	10	78	48	16	24	23	15	12	234	253	547	530	425	628	18	29	47
0610012G03Rik	3282	299	158	390	90	686	325	262	650	89	93	76	733	1143	1790	1279	1008	1224	55	56	88
0610030E20Rik	6412	324	1596	550	810	680	338	302	476	366	718	424	884	876	806	1426	1256	1184	100	82	158
0610037L13Rik	3362	28	167	49	65	116	41	33	79	69	97	68	477	643	906	1067	837	907	62	64	103
0610040J01Rik	72	0	7	0	8	49	0	0	0	1	8	7	135	256	150	42	34	35	6	1	6
1110001J03Rik	925	0	24	0	5	0	0	0	18	0	4	12	187	233	523	548	487	610	10	10	21
1110002E22Rik	0	0	0	13	3	0	0	19	0	0	0	0	0	0	0	0	0	0	3	0	0
1110004E09Rik	818	69	47	113	40	140	0	75	35	18	22	15	211	188	301	315	212	265	8	22	17
1110004F10Rik	14817	659	1056	1067	743	865	818	167	427	255	901	472	1624	1600	1947	2804	2527	2847	152	162	269
1110008F13Rik	11725	58	89	4	84	35	25	41	68	41	72	42	3011	2639	4053	4137	3084	4825	101	106	182
1110008L16Rik	2236	4	23	9	17	21	16	19	0	9	17	16	226	180	174	264	233	170	24	26	37
1110008P14Rik	4937	325	244	316	157	782	399	318	932	136	145	160	452	378	856	1036	874	1204	21	30	62
1110012L19Rik	2319	0	31	0	17	0	0	0	0	12	17	3	179	267	390	427	400	464	22	29	54
1110017D15Rik	1	0	0	0	1	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1110032A03Rik	4716	60	298	150	159	276	118	100	191	90	97	133	272	311	418	754	575	739	61	51	108
1110032F04Rik	7	0	5	0	3	0	0	0	0	3	4	0	17	9	18	6	11	11	1	1	0
1110034G24Rik	647	22	30	1	16	2	0	0	3	4	20	12	141	268	368	232	231	172	17	16	22
1110037F02Rik	16575	228	672	358	244	673	175	168	365	80	272	162	1226	1011	545	1520	1373	968	119	110	170
1110038F14Rik	2858	14	189	52	84	135	51	15	27	35	74	75	408	423	685	745	622	562	32	27	61
1110051M20Rik	1505	64	225	50	127	320	59	123	142	51	150	108	281	367	285	400	307	271	25	35	52
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	11359	1	167	0	80	137	8	12	84	45	43	40	722	714	843	1514	1398	1556	89	116	171
