Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Agkistrodon bilineatus bilineatus,Agkistrodon,bilineatus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,0,0,0,16.5,0,0,4.9,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,24.5,3.1,0.9,0,42,4.6,2.5
Agkistrodon bilineatus howardgloydi,Agkistrodon,bilineatus,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,0,0,0,16.9,0,0,2.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,30.8,2.2,0.4,0,40.8,5.5,0.5999999999999943
Agkistrodon bilineatus taylori,Agkistrodon,bilineatus,Viperidae,Mexico,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,5.6,0,0,7.6,0,0,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.6,2.7,1.4,0,34.3,8.7,3.299999999999997
Agkistrodon contortrix contortrix,Agkistrodon,contortrix,Viperidae,Unknown,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0.1,3.7,0,0,14.29,0,0,4.4,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,32.47,1.5,2.4,0,31.47,6.59,2.680000000000007
Agkistrodon contortrix contortrix,Agkistrodon,contortrix,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/27983581,0,0,1.96,0,0,14.72,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,25.26,0,0.77,0,50.77,0,2.269999999999996
Agkistrodon contortrix laticinctus,Agkistrodon,contortrix,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,0,0,0,14.1,0,0,4.9,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,30.6,0.8,1.3,0,39.2,6.8,2.200000000000003
Agkistrodon contortrix mokasen,Agkistrodon,contortrix,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,1.9,0,0,9.6,0,0,6.1,0,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,29.8,2.2,0.4,0,41.2,5.9,2.0999999999999943
Agkistrodon contortrix phaeogaster,Agkistrodon,contortrix,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,0,0,0,22.5,0,0,5.4,0.1,0,0,0,0.5,0,0,0,0.4,0,0,0,0,0,0,21.4,2.2,0.6,0,40.2,5.4,1.299999999999983
Agkistrodon contortrix pictigaster,Agkistrodon,contortrix,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,2,0,0,8.9,0,0,8.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,30.2,0.8,2.5,0,38.2,6.2,2.200000000000003
Agkistrodon piscivorus conanti,Agkistrodon,piscivorus,Viperidae,USA,https://www.ncbi.nlm.nih.gov/pubmed/24211403,0,0,3,0,0,13.9,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.2,1.3,0,46,5.7,2.3999999999999915
