Snake,genus,species,Reference,Note,SVMPi (Snake Venom Metalloproteinase inhibitor),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),PLB (Phospholipase B),Cro-toxin,SP (Serine roteinase),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Ohanin,Cystatin,Crotamine,NGF (Nerve Growth Factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),QC (Glutaminyl Cyclase),beta-BTx (beta-bungarotoxin),ECTONT (ecto-59-nucleotidase),Unknown peptides,Unknown/Undetermined,SVMP,disintegrin,lectins,neurotoxins,PLA2
Agkistrodon bilineatus bilineatus,Agkistrodon,bilineatus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Mexico,0,0,0,0,0,0,16.5,0,0,0,4.9,0,4.6,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,2.5,24.5,3.1,0.9,0,42
Agkistrodon bilineatus howardgloydi,Agkistrodon,bilineatus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Costa Rica,0,0,0,0,0,0,16.9,0,0,0,2.6,0,5.5,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.6,30.8,2.2,0.4,0,40.8
Agkistrodon bilineatus taylori,Agkistrodon,bilineatus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Mexico,0,0,5.6,0,0,0,7.6,0,0,0,4.8,0,8.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3,30.6,2.7,1.4,0,34.3
Agkistrodon contortrix contortrix,Agkistrodon,contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Origin unknown,0,0.1,3.7,0,0,0,14.29,0,0,0,4.4,0,6.59,0,0,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0,2.7,32.47,1.5,2.4,0,31.47
Agkistrodon contortrix contortrix,Agkistrodon,contortrix,https://www.ncbi.nlm.nih.gov/pubmed/27983581,USA,0,0,1.96,0,0,0,14.72,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,25.26,0,0.77,0,50.77
Agkistrodon contortrix laticinctus,Agkistrodon,contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Texas,0,0,0,0,0,0,14.1,0,0,0,4.9,0,6.8,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.2,30.6,0.8,1.3,0,39.2
Agkistrodon contortrix mokasen,Agkistrodon,contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Kentucky,0,0,1.9,0,0,0,9.6,0,0,0,6.1,0,5.9,0,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0,1.9,29.8,2.2,0.4,0,41.2
Agkistrodon contortrix phaeogaster,Agkistrodon,contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Missouri,0,0,0,0,0,0,22.5,0,0,0,5.4,0,5.4,0,0.1,0,0,0,0,0,0.5,0,0,0.4,0,0,0,0,0,0,0,1.3,21.4,2.2,0.6,0,40.2
Agkistrodon contortrix pictigaster,Agkistrodon,contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Texas,0,0,2,0,0,0,8.9,0,0,0,8.8,0,6.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,2.2,30.2,0.8,2.5,0,38.2
Agkistrodon piscivorus conanti,Agkistrodon,piscivorus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Florida,0,0,3,0,0,0,13.9,0,0,0,4.5,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,21,2.2,1.3,0,46
