<<<<<<< HEAD
Snake,SVMP (Snake Venom Metalloproteinase),3Ftx (three-finger toxin),Unknown peptides,PLA2 (Phospholipases A2),LAAO (L-Amino Acid oxidase),TRF (TRansFerrin),CRISP (cysteine-rich secretory protein),SP (Serine Proteinase),SPi (Serine Proteinase inhibitor),CTL (C-typelectin),Disintegrin,KuTi (Kunitz-type nhibitor),AP (AminoPeptidase),PDE (PhosphoDiEsterases),VEGF (Vascular Endothelial Growth Factor),QC (Glutaminyl Cyclase),NT5 (5NucleoTidase),HYA (HYAluronidase),NGF (Nerve Growth Factor),BPP (Bradykinin-Potentiating Peptides),NP (Natriuretic Peptide),PLB (Phospholipase B),PIII-SVMP (Snake Venom Metalloproteinase PIII),PI-SVMP (Snake Venom Metalloproteinase-PI),D49-PLA2,S49-PLA2,Dimeric disintegrin,Country,Reference,Unknown/Undetermined
Vipera aspis aspis,13.38,0,0,30.86,1.1700000000000002,0,1.1,12.04,17.53,11.719999999999999,6.159999999999999,1.22,0.8500000000000001,0.15000000000000002,2.51,0.25,0.29000000000000004,0.04,0.46,0,0,0.15000000000000002,0,0,0,0,0,France,https://www.ncbi.nlm.nih.gov/pubmed/32087377,0.11999999999997613
Vipera berus berus,0,0,0,0,7.3,0,3.5,16.2,0,3.5,0,2.6,0,0.3,4.3,0.07,0.3,0.1,0.2,9.5,7.8,0,16.3,0.9,20.6,4.7,1.6,Russia,https://www.ncbi.nlm.nih.gov/pubmed/30717298,0.23000000000000398
Vipera anatolica senliki,42.9,0,23.5,8.2,0.1,0,9.9,7.2,0,4.6,1.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,https://www.ncbi.nlm.nih.gov/pubmed/32073270,0.4999999999999858
=======
Toxin,Vipera aspis aspis,Vipera berus berus,Vipera anatolica senliki
SVMP (Snake Venom Metalloproteinase),13.38,NA,42.9
3Ftx (three-finger toxin),NA,NA,NA
Unknown peptides,NA,NA,23.5
PLA2 (Phospholipases A2),30.86,NA,8.2
LAAO (L-Amino Acid oxidase),1.1700000000000002,7.3,0.1
TRF (TRansFerrin),NA,NA,NA
CRISP (cysteine-rich secretory protein),1.1,3.5,9.9
SP (Serine Proteinase),12.04,16.2,7.2
SPi (Serine Proteinase inhibitor),17.53,NA,NA
CTL (C-typelectin),11.719999999999999,3.5,4.6
Disintegrin,6.159999999999999,NA,1.9
KuTi (Kunitz-type nhibitor),1.22,2.6,1.2
AP (AminoPeptidase),0.8500000000000001,NA,NA
PDE (PhosphoDiEsterases),0.15000000000000002,0.3,NA
VEGF (Vascular Endothelial Growth Factor),2.51,4.3,NA
QC (Glutaminyl Cyclase),0.25,0.07,NA
NT5 (5NucleoTidase),0.29000000000000004,0.3,NA
HYA (HYAluronidase),0.04,0.1,NA
NGF (Nerve Growth Factor),0.46,0.2,NA
BPP (Bradykinin-Potentiating Peptides),NA,9.5,NA
NP (Natriuretic Peptide),NA,7.8,NA
PLB (Phospholipase B),0.15000000000000002,NA,NA
PIII-SVMP (Snake Venom Metalloproteinase PIII),NA,16.3,NA
PI-SVMP (Snake Venom Metalloproteinase PI),NA,0.9,NA
D49-PLA2,NA,20.6,NA
S49-PLA2,NA,4.7,NA
Dimeric disintegrin,NA,1.6,NA
>>>>>>> dfef388d0617d012db6c7f1725505229298ca6cc
